,Location,Code,Year,Continent
222,Slovenia,SVN,2023,Europe
223,Solomon Islands,SLB,2023,Oceania
224,Somalia,SOM,2023,Africa
225,South Africa,ZAF,2023,Africa
226,South Georgia and the South Sandwich Islands,SGS,2023,South America
227,South Korea,KOR,2023,Asia
228,South Sudan,SSD,2023,Africa
229,Spain,ESP,2023,Europe
230,Sri Lanka,LKA,2023,Asia
231,Sudan,SDN,2023,Africa
232,Suriname,SUR,2023,South America
233,Sweden,SWE,2023,Europe
234,Switzerland,CHE,2023,Europe
235,Syria,SYR,2023,Asia
236,Taiwan,TWN,2023,Asia
237,Tajikistan,TJK,2023,Asia
238,Tanzania,TZA,2023,Africa
239,Thailand,THA,2023,Asia
240,Togo,TGO,2023,Africa
241,Tokelau,TKL,2023,Oceania
242,Tonga,TON,2023,Oceania
243,Trinidad and Tobago,TTO,2023,North America
244,Tunisia,TUN,2023,Africa
245,Turkey,TUR,2023,Asia
246,Turkmenistan,TKM,2023,Asia
247,Turks and Caicos Islands,TCA,2023,North America
248,Tuvalu,TUV,2023,Oceania
249,USSR,OWID_USS,2023,Europe
250,Uganda,UGA,2023,Africa
251,Ukraine,UKR,2023,Europe
252,United Arab Emirates,ARE,2023,Asia
253,United Kingdom,GBR,2023,Europe
254,United States,USA,2023,North America
255,United States Virgin Islands,VIR,2023,North America
256,Uruguay,URY,2023,South America
257,Uzbekistan,UZB,2023,Asia
258,Vanuatu,VUT,2023,Oceania
259,Vatican,VAT,2023,Europe
260,Venezuela,VEN,2023,South America
261,Vietnam,VNM,2023,Asia
262,Wallis and Futuna,WLF,2023,Oceania
263,West Germany,OWID_GFR,2023,Europe
264,Western Sahara,ESH,2023,Africa
265,Yemen,YEM,2023,Asia
266,Yemen Arab Republic,OWID_YAR,2023,Asia
267,Yemen People's Republic,OWID_YPR,2023,Asia
268,Yugoslavia,OWID_YGS,2023,Europe
269,Zambia,ZMB,2023,Africa
270,Zimbabwe,ZWE,2023,Africa
